City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,39.34,69,90,28.1,TF,2025-01-01
1,minas de marcona,-15.2119,-75.1103,62.62,85,98,4.09,PE,2025-01-01
2,zhezqazghan,47.7833,67.7667,10.98,85,100,4.47,KZ,2025-01-01
3,bardai,11.65,7.2333,64.22,26,1,13.51,NG,2025-01-01
4,adamstown,-25.066,-130.1015,75.76,82,53,11.77,PN,2025-01-01
5,lerwick,60.1545,-1.1494,36.18,66,99,25.86,GB,2025-01-01
6,bethel,41.3712,-73.414,43.9,88,100,11.5,US,2025-01-01
7,georgetown,5.4112,100.3354,89.53,62,20,7.0,MY,2025-01-01
8,barah,13.7,30.3667,61.18,24,0,15.35,SD,2025-01-01
9,olonkinbyen,70.9221,-8.7187,23.86,60,100,19.91,SJ,2025-01-01
10,san ignacio,17.1561,-89.0714,75.34,100,40,0.0,BZ,2025-01-01
11,lensk,60.7253,114.9278,-4.31,95,100,7.81,RU,2025-01-01
12,albany,42.6001,-73.9662,40.26,79,100,1.99,US,2025-01-01
13,den burg,53.0542,4.7972,49.98,81,100,33.38,NL,2025-01-01
14,edinburgh of the seven seas,-37.0676,-12.3116,55.76,61,92,6.46,SH,2025-01-01
15,maposeni,-10.5833,35.4,72.55,94,100,2.77,TZ,2025-01-01
16,kone,-21.0595,164.8658,82.63,60,83,5.1,NC,2025-01-01
17,alice springs,-23.7,133.8833,98.15,8,10,17.27,AU,2025-01-01
18,grytviken,-54.2811,-36.5092,35.46,80,43,15.5,GS,2025-01-01
19,wailua homesteads,22.0669,-159.378,74.19,85,40,18.41,US,2025-01-01
20,puerto ayora,-0.7393,-90.3518,73.0,86,74,5.3,EC,2025-01-01
21,colchani,-20.3,-66.9333,53.42,55,99,13.51,BO,2025-01-01
22,utrik,11.2278,169.8474,80.67,80,6,16.2,MH,2025-01-01
23,nyurba,63.2842,118.3319,-24.79,98,100,1.81,RU,2025-01-01
24,whitehorse,60.7161,-135.0538,-4.7,83,100,0.0,CA,2025-01-01
25,thompson,55.7435,-97.8558,14.16,85,100,9.22,CA,2025-01-01
26,mossel bay,-34.1831,22.146,66.13,62,0,3.04,ZA,2025-01-01
27,mullovka,54.2,49.4,21.02,89,72,14.54,RU,2025-01-01
28,embrun,44.5639,6.4953,29.23,63,1,4.16,FR,2025-01-01
29,puerto natales,-51.7236,-72.4875,44.6,95,10,1.83,CL,2025-01-01
30,hilo,19.7297,-155.09,73.13,93,100,5.75,US,2025-01-01
31,jiangyou,31.7667,104.7167,52.68,57,98,1.7,CN,2025-01-01
32,roma,43.2128,-75.4557,40.68,90,100,4.0,US,2025-01-01
33,veinticinco de mayo,-35.4323,-60.1727,68.99,85,90,5.57,AR,2025-01-01
34,chonchi,-42.6128,-73.8092,53.11,99,75,2.15,CL,2025-01-01
35,muli,2.9167,73.5667,79.99,81,76,12.48,MV,2025-01-01
36,holualoa,19.6228,-155.9522,72.82,89,25,1.14,US,2025-01-01
37,lodja,-3.4833,23.4333,73.11,86,100,1.77,CD,2025-01-01
38,nagqu,31.5,92.0,24.46,21,99,26.53,CN,2025-01-01
39,mpongwe,-13.5091,28.155,65.41,97,100,5.01,ZM,2025-01-01
40,coquimbo,-29.9533,-71.3436,62.33,94,100,5.75,CL,2025-01-01
41,ust-nera,64.5667,143.2,-34.89,99,91,6.35,RU,2025-01-01
42,dunedin,-45.8742,170.5036,57.11,73,100,4.72,NZ,2025-01-01
43,waitangi,-43.9535,-176.5597,61.83,95,100,4.0,NZ,2025-01-01
44,tostado,-29.232,-61.7692,71.98,76,16,5.99,AR,2025-01-01
45,val-d'or,48.1002,-77.7828,30.29,100,100,3.44,CA,2025-01-01
46,hadibu,12.65,54.0333,74.68,77,63,6.89,YE,2025-01-01
47,udachny,66.4167,112.4,-26.03,100,100,3.83,RU,2025-01-01
48,ushuaia,-54.8,-68.3,49.66,93,100,9.22,AR,2025-01-01
49,prince george,53.9166,-122.753,11.28,85,40,0.0,CA,2025-01-01
50,badger,64.8,-147.5333,-16.35,77,0,0.0,US,2025-01-01
51,saipan,15.1355,145.701,88.5,77,40,12.66,MP,2025-01-01
52,big rapids,43.6981,-85.4837,32.32,93,100,5.75,US,2025-01-01
53,taro,-8.3862,115.28,76.68,80,100,3.33,ID,2025-01-01
54,elliot lake,46.3834,-82.6331,28.87,90,100,3.69,CA,2025-01-01
55,dordrecht,51.81,4.6736,46.98,85,100,14.0,NL,2025-01-01
56,maunabo,18.0072,-65.8993,72.9,83,81,6.46,PR,2025-01-01
57,youhao,47.8667,128.8333,13.06,82,100,7.05,CN,2025-01-01
58,iqaluit,63.7506,-68.5145,19.13,79,100,10.36,CA,2025-01-01
59,nabire,-3.3667,135.4833,83.57,80,67,6.35,ID,2025-01-01
60,bredasdorp,-34.5322,20.0403,66.61,60,0,2.86,ZA,2025-01-01
61,leeton,-34.5667,146.4,93.09,12,0,14.36,AU,2025-01-01
62,san luis,-33.295,-66.3356,66.79,80,96,5.26,AR,2025-01-01
63,robertsport,6.7533,-11.3686,74.28,93,48,4.43,LR,2025-01-01
64,al ghayzah,16.2079,52.176,73.13,60,3,1.7,YE,2025-01-01
65,kudahuvadhoo,2.6708,72.8944,79.79,78,61,6.17,MV,2025-01-01
66,severodvinsk,64.5635,39.8302,21.06,93,47,11.25,RU,2025-01-01
67,lusaka,-15.4067,28.2871,65.97,93,99,4.74,ZM,2025-01-01
68,lebu,-37.6167,-73.65,52.74,90,0,18.77,CL,2025-01-01
69,portland,45.5234,-122.6762,41.05,94,100,3.0,US,2025-01-01
70,tazovsky,67.4667,78.7,11.86,93,95,15.95,RU,2025-01-01
71,murmashi,68.8154,32.8115,25.21,86,40,6.71,RU,2025-01-01
72,papatowai,-46.5619,169.4708,57.09,72,20,7.65,NZ,2025-01-01
73,ribeira grande,38.5167,-28.7,63.77,96,100,11.01,PT,2025-01-01
74,picos,-7.0769,-41.4669,75.96,76,85,0.81,BR,2025-01-01
75,longyearbyen,78.2186,15.6401,8.44,78,20,8.05,SJ,2025-01-01
76,port elizabeth,-33.918,25.5701,72.32,76,0,6.91,ZA,2025-01-01
77,saldanha,-33.0117,17.9442,59.05,75,0,6.96,ZA,2025-01-01
78,tantou,26.0314,119.5986,56.97,44,75,8.95,CN,2025-01-01
79,codrington,-38.2667,141.9667,65.32,61,77,18.75,AU,2025-01-01
80,anadyr,64.75,177.4833,25.3,80,40,11.18,RU,2025-01-01
81,margaret river,-33.95,115.0667,82.42,51,7,12.75,AU,2025-01-01
82,san fernando de apure,7.8878,-67.4724,79.72,63,46,7.29,VE,2025-01-01
83,constantia,44.1833,28.65,34.7,63,4,8.97,RO,2025-01-01
84,blackmans bay,-43.0167,147.3167,65.73,47,78,5.01,AU,2025-01-01
85,puerto baquerizo moreno,-0.9,-89.6,73.35,87,23,9.57,EC,2025-01-01
86,nova sintra,14.8667,-24.7167,76.75,74,98,12.97,CV,2025-01-01
87,isafjordur,66.0755,-23.124,16.18,70,1,5.97,IS,2025-01-01
88,seme,15.1942,-12.9448,65.07,24,0,9.89,SN,2025-01-01
89,prince rupert,54.3161,-130.3201,42.49,72,100,20.71,CA,2025-01-01
90,vila franca do campo,37.7167,-25.4333,64.89,99,100,26.11,PT,2025-01-01
91,banting,2.8167,101.5,89.73,74,69,4.09,MY,2025-01-01
92,ulsteinvik,62.3432,5.8487,30.33,69,12,1.01,NO,2025-01-01
93,luderitz,-26.6481,15.1594,61.14,84,0,20.74,NA,2025-01-01
94,yakeshi,49.2833,120.7333,1.2,95,100,3.71,CN,2025-01-01
95,bargaal,11.2864,51.0773,77.05,61,73,10.8,SO,2025-01-01
96,al jawf,29.5,38.75,44.67,82,6,7.74,SA,2025-01-01
97,auki,-8.7676,160.7034,82.17,83,84,3.76,SB,2025-01-01
98,ilulissat,69.2167,-51.1,12.22,48,20,2.3,GL,2025-01-01
99,tolanaro,-25.0319,46.9987,87.87,58,20,24.16,MG,2025-01-01
100,hawick,55.4227,-2.7867,43.12,89,100,17.05,GB,2025-01-01
101,kutum,14.2,24.6667,52.21,36,0,10.6,SD,2025-01-01
102,alesund,62.4723,6.1549,30.34,69,14,17.27,NO,2025-01-01
103,prado,-17.3411,-39.2208,72.21,94,100,3.89,BR,2025-01-01
104,tres arroyos,-38.3739,-60.2798,61.43,91,75,2.59,AR,2025-01-01
105,loango,-4.6719,11.8312,78.71,88,99,3.62,CG,2025-01-01
106,chita,52.0333,113.55,10.29,57,66,4.47,RU,2025-01-01
107,khandyga,62.6667,135.6,-46.97,98,99,0.16,RU,2025-01-01
108,port lincoln,-34.7333,135.8667,68.68,63,0,16.69,AU,2025-01-01
109,invercargill,-46.4,168.35,60.03,73,19,7.0,NZ,2025-01-01
110,urengoy,65.9667,78.3667,9.41,95,100,13.38,RU,2025-01-01
111,igrim,63.1906,64.4162,15.31,95,91,7.31,RU,2025-01-01
112,quellon,-43.1167,-73.6167,51.22,98,87,4.52,CL,2025-01-01
113,ola,59.5833,151.2833,-21.17,81,0,5.73,RU,2025-01-01
114,hermanus,-34.4187,19.2345,63.81,61,0,1.45,ZA,2025-01-01
115,armidale,-30.5167,151.65,65.53,78,100,7.87,AU,2025-01-01
116,xinqing,48.2333,129.5,10.85,81,99,5.88,CN,2025-01-01
117,uturoa,-16.7333,-151.4333,82.6,70,76,0.07,PF,2025-01-01
118,sao vicente,-23.9631,-46.3919,71.98,26,38,1.59,BR,2025-01-01
119,kerikeri,-35.2268,173.9474,71.91,60,4,4.0,NZ,2025-01-01
120,bodo,67.28,14.405,32.04,81,75,11.5,NO,2025-01-01
121,maua,-23.6678,-46.4614,69.01,90,69,3.65,BR,2025-01-01
122,jamestown,42.097,-79.2353,42.03,98,100,5.75,US,2025-01-01
123,port augusta,-32.5,137.7667,82.8,31,0,22.7,AU,2025-01-01
124,yellowknife,62.456,-114.3525,-6.45,77,100,10.36,CA,2025-01-01
125,mukalla,14.5425,49.1242,73.33,65,4,1.97,YE,2025-01-01
126,remire-montjoly,4.9167,-52.2667,75.24,100,75,2.3,GF,2025-01-01
127,belyy yar,53.6039,91.3903,-5.91,92,100,0.0,RU,2025-01-01
128,mancio lima,-7.6142,-72.8958,73.26,93,99,1.9,BR,2025-01-01
129,tataouine,32.9297,10.4518,48.49,85,99,10.13,TN,2025-01-01
130,san patricio,28.017,-97.5169,57.15,51,16,9.53,US,2025-01-01
131,rucar,45.4,25.1667,34.2,61,11,3.94,RO,2025-01-01
132,susuman,62.7833,148.1667,-28.93,100,95,1.68,RU,2025-01-01
133,tura,25.5198,90.2201,74.93,38,0,4.0,IN,2025-01-01
134,west island,-12.1568,96.8225,85.98,70,20,8.05,CC,2025-01-01
135,maraial,-8.7825,-35.8089,69.73,94,58,1.83,BR,2025-01-01
136,ha'il,27.5219,41.6907,35.62,64,0,4.61,SA,2025-01-01
137,howard springs,-12.497,131.047,93.11,49,77,7.96,AU,2025-01-01
138,ath thawrah,35.8469,38.5443,49.37,66,6,5.23,SY,2025-01-01
139,hasaki,35.7333,140.8333,49.26,32,47,6.6,JP,2025-01-01
140,callao,-12.0667,-77.15,73.72,83,75,8.05,PE,2025-01-01
141,lucapa,-8.4192,20.7447,67.35,91,100,0.69,AO,2025-01-01
142,qaqortoq,60.7167,-46.0333,2.95,68,1,6.53,GL,2025-01-01
143,talnakh,69.4865,88.3972,11.25,86,100,14.12,RU,2025-01-01
144,hawaiian paradise park,19.5933,-154.9731,72.91,96,100,5.75,US,2025-01-01
145,bakchar,57.0186,82.0711,6.82,89,67,7.81,RU,2025-01-01
146,tasqala,51.1167,50.3167,30.72,92,100,17.76,KZ,2025-01-01
147,neiafu,-18.65,-173.9833,84.88,79,40,5.75,TO,2025-01-01
